,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (48, 24), 끝 좌표(96, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~96, 0~48 범위를 벗어나더라도 렌더링이 가능합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,,
,번호,표지판타입,좌표갯수,x1,y1,텍스트1,텍스트 배율,색,정렬1,x2,y2,텍스트2,텍스트 배율,색,정렬2,x3,y3,텍스트3,텍스트 배율,색,정렬3,x4,y4,텍스트4,텍스트 배율,색,정렬4,x5,y5,텍스트5,텍스트 배율,색,정렬5,
,08-362,default,3,184,30,08-362,1,#0000FF,RIGHT,10,10,바이오전자공학 연구실험실,1.5,#FFFFFF,LEFT,10,29,Bioelectronics Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-363,default,5,175,2,08-363,0.85,#FFFFFF,RIGHT,10,9,전자공학과 교수,0.6,#808080,LEFT,10,17.5,Dept. of Electronics Enginerring Professor,0.38,#808080,LEFT,10,25,(한자),0.6,#808080,LEFT,10,33,변상원 변상원 Sangwon Byun,0.6,#FFFFFF,LEFT,
,08-364,default,5,175,2,08-364,0.85,#FFFFFF,RIGHT,12,10,전자공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Electronics Enginerring Professor,0.35,#808080,LEFT,12,22,구 경 헌,1.5,#FFFFFF,LEFT,64,27,Kyung Heon Koo,0.75,#808080,LEFT,
,08-365,default,5,175,2,08-365,0.85,#FFFFFF,RIGHT,12,10,전자공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Electronics Enginerring Professor,0.35,#808080,LEFT,12,22,김 교 선,1.5,#FFFFFF,LEFT,64,27,Kyosun Kim,0.75,#808080,LEFT,
,08-366,default,5,175,2,08-366,0.85,#FFFFFF,RIGHT,12,10,전자공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Electronics Enginerring Professor,0.35,#808080,LEFT,12,22,이 성 민,1.5,#FFFFFF,LEFT,64,27,Seong Min Lee,0.75,#808080,LEFT,
,08-367,default,5,175,2,08-367,0.85,#FFFFFF,RIGHT,10,9,전자공학과 교수,0.6,#808080,LEFT,10,17.5,Dept. of Electronics Enginerring Professor,0.38,#808080,LEFT,10,25,(한자),0.6,#808080,LEFT,10,33,유용석 (한자) Yongseok Yoo,0.6,#FFFFFF,LEFT,
,08-368,default,5,175,2,08-368,0.85,#FFFFFF,RIGHT,10,9,전자공학과 교수,0.6,#808080,LEFT,10,17.5,Dept. of Electronics Enginerring Professor,0.38,#808080,LEFT,10,25,(한자),0.6,#808080,LEFT,10,33,송준영 (한자) Junyoung Song,0.6,#FFFFFF,LEFT,
,08-369,default,5,175,2,08-369,0.85,#FFFFFF,RIGHT,12,10,전자공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Electronics Enginerring Professor,0.35,#808080,LEFT,12,22,김 형 택,1.5,#FFFFFF,LEFT,64,27,Hyung Taek Kim,0.75,#808080,LEFT,
,08-370,default,5,175,2,08-370,0.85,#FFFFFF,RIGHT,10,9,전자공학과 교수,0.6,#808080,LEFT,10,17.5,Dept. of Electronics Enginerring Professor,0.38,#808080,LEFT,10,25,(한자),0.6,#808080,LEFT,10,33,강영호 (한자) Youngho Kang,0.6,#FFFFFF,LEFT,
,08-371,default,3,184,30,8-371,1,#0000FF,RIGHT,10,10,나노재료연구실,1.75,#FFFFFF,LEFT,10,29,Nano Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-372,default,3,184,30,08-372,1,#0000FF,RIGHT,10,10,전산재료과학연구실,1.75,#FFFFFF,LEFT,10,29,Computational Materials Science Laboratory,0.6,#808080,LEFT,,,,,,,,,,,,,
,08-373,default,3,184,30,8-373,1,#0000FF,RIGHT,10,10,나노재료실험실2,1.75,#FFFFFF,LEFT,10,29,HBRL Research Group,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-374,default,3,184,30,8-374,1,#0000FF,RIGHT,10,10,세라믹실험실,1.75,#FFFFFF,LEFT,10,29,Ceramic Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-375,default,5,175,2,08-375,0.85,#FFFFFF,RIGHT,12,10,신소재공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Advanced Materials Engineering Professor,0.35,#808080,LEFT,12,22,김 배 연,1.5,#FFFFFF,LEFT,64,27,Bae Yeon Kim,0.75,#808080,LEFT,
,08-376,default,5,175,2,08-376,0.85,#FFFFFF,RIGHT,12,10,신소재공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Advanced Materials Engineering Professor,0.35,#808080,LEFT,12,22,김 종 범,1.5,#FFFFFF,LEFT,64,27,"Chong, Bum Kim",0.75,#808080,LEFT,
,08-377,default,5,17,2,08-377,0.85,#FFFFFF,LEFT,104,9,신소재공학과 교수,0.6,#808080,LEFT,104,17.5,Dept. of Advanced Materials Engineering Professor,0.34,#808080,LEFT,104,25,(한자),0.6,#808080,LEFT,104,33,강영호 (한자) Youngho Kang,0.6,#FFFFFF,LEFT,
,08-378,default,5,175,2,08-378,0.85,#FFFFFF,RIGHT,12,10,신소재공학과 교수,0.35,#808080,LEFT,12,16,Dept. of Advanced Materials Engineering Professor,0.35,#808080,LEFT,12,22,박 재 윤,1.5,#FFFFFF,LEFT,64,27,Jae Yun Park,0.75,#808080,LEFT,
,08-379,default,3,184,30,08-379,1,#0000FF,RIGHT,10,10,탕비실,1.75,#FFFFFF,LEFT,10,29,Office Pantry,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-380,default,3,184,30,08-380,1,#0000FF,RIGHT,10,10,스핀전자재료실험실,1.75,#FFFFFF,LEFT,10,29,Spintronic Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-381,default,3,184,30,08-381,1,#0000FF,RIGHT,10,10,전자패키지실험실,1.75,#FFFFFF,LEFT,10,29,Microelectronic Package Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-382,default,3,184,30,08-382,1,#0000FF,RIGHT,10,10,나노재료실험실1,1.75,#FFFFFF,LEFT,10,29,Nano Materials Lab.1,0.75,#808080,LEFT,,,,,,,,,,,,,
